groupId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
org.jetbrains.kotlin,32517,15766,1356,62,1,10215,788,0,3236,442,586,42,1,22
com.android.support,6613,4797,9,53,1,0,147,0,1564,40,2,0,0,0
com.android.support.constraint,1672,1458,0,0,0,0,33,0,180,1,0,0,0,0
junit,9429,137,7994,125,0,0,22,0,24,6,1120,0,1,0
com.android.support.test,1838,11,21,1804,0,0,0,0,2,0,0,0,0,0
com.android.support.test.espresso,1770,22,5,1740,0,1,1,0,1,0,0,0,0,0
com.squareup.retrofit2,3791,3015,29,4,0,0,254,1,459,23,6,0,0,0
io.reactivex.rxjava2,2310,1812,16,4,0,0,166,0,265,46,1,0,0,0
com.squareup.okhttp3,2171,1533,170,49,0,1,154,0,233,11,20,0,0,0
com.google.dagger,3785,1572,13,51,1614,229,72,93,134,6,1,0,0,0
com.android.tools.build,8463,200,20,0,0,8122,16,0,14,90,1,0,0,0
com.badlogicgames.gdx,182,41,13,0,0,5,37,0,79,6,1,0,0,0
androidx.appcompat,6638,6417,1,21,0,0,149,0,3,47,0,0,0,0
androidx.core,4783,4650,2,10,0,0,103,0,4,14,0,0,0,0
androidx.constraintlayout,4612,4535,0,0,0,0,66,0,4,7,0,0,0,0
com.google.android.material,3305,3181,0,11,0,1,101,0,4,7,0,0,0,0
androidx.test,3095,52,357,2666,0,0,19,0,0,1,0,0,0,0
androidx.test.espresso,5085,71,73,4921,0,0,20,0,0,0,0,0,0,0
com.nightonke,4,4,0,0,0,0,0,0,0,0,0,0,0,0
com.jfrog.bintray.gradle,659,14,0,0,0,640,3,0,2,0,0,0,0,0
com.github.dcendents,1060,0,0,0,0,1060,0,0,0,0,0,0,0,0
org.jetbrains.kotlinx,5254,3922,366,63,0,57,491,0,277,61,17,0,0,0
pink.madis.apk.arsc,2,2,0,0,0,0,0,0,0,0,0,0,0,0
android.arch.persistence.room,521,231,19,15,181,0,7,42,26,0,0,0,0,0
com.jakewharton.rxbinding2,229,170,1,0,0,0,24,0,34,0,0,0,0,0
com.github.armcha,5,3,0,0,0,0,0,0,2,0,0,0,0,0
com.github.bumptech.glide,2042,1140,0,0,494,0,71,222,105,9,1,0,0,0
android.arch.lifecycle,777,524,0,0,120,0,31,57,38,7,0,0,0,0
org.jetbrains.anko,1034,698,0,1,0,0,43,0,292,0,0,0,0,0
com.squareup.picasso,437,361,0,0,0,0,8,0,62,5,1,0,0,0
androidx.test.ext,3414,19,177,3213,0,0,5,0,0,0,0,0,0,0
com.toptoche.searchablespinner,5,5,0,0,0,0,0,0,0,0,0,0,0,0
androidx.compose.ui,421,353,1,53,0,0,14,0,0,0,0,0,0,0
androidx.compose.material,314,312,0,0,0,0,2,0,0,0,0,0,0,0
androidx.compose.runtime,183,171,0,0,0,0,12,0,0,0,0,0,0,0
androidx.activity,443,428,0,0,0,0,14,0,0,1,0,0,0,0
com.chillibits,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.mikepenz.aboutlibraries.plugin,20,0,0,0,0,20,0,0,0,0,0,0,0,0
org.jetbrains.dokka,502,41,0,0,0,453,5,0,1,2,0,0,0,0
androidx.navigation,2205,1747,3,24,0,375,54,0,0,2,0,0,0,0
androidx.preference,583,565,0,0,0,0,18,0,0,0,0,0,0,0
com.mikepenz,230,216,0,0,0,0,8,0,6,0,0,0,0,0
com.github.ibrahimsn98,5,4,0,0,0,0,1,0,0,0,0,0,0,0
com.github.skydoves,102,92,0,0,2,0,7,1,0,0,0,0,0,0
org.junit.jupiter,1496,49,842,8,0,0,9,0,8,2,100,348,60,70
com.github.jcornaz.kwik,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.google.firebase,1952,1554,6,0,0,274,39,0,62,17,0,0,0,0
androidx.lifecycle,4342,3855,8,6,189,0,249,23,0,12,0,0,0,0
androidx.room,2411,1335,80,91,803,0,62,37,3,0,0,0,0,0
org.koin,835,705,66,21,0,11,22,0,8,1,1,0,0,0
com.evernote,31,17,0,0,5,0,1,1,7,0,0,0,0,0
com.github.chrisbanes.photoview,6,4,0,0,0,0,0,0,2,0,0,0,0,0
com.airbnb.android,281,230,2,1,36,0,6,3,3,0,0,0,0,0
com.github.florent37,77,69,0,0,0,0,3,0,4,1,0,0,0,0
org.greenrobot,176,108,0,0,9,24,11,1,22,1,0,0,0,0
com.google.gms,704,2,0,0,0,702,0,0,0,0,0,0,0,0
no.tornado,61,22,0,0,0,1,2,0,35,0,1,0,0,0
io.reactivex,339,103,1,0,0,0,11,0,222,1,1,0,0,0
androidx.recyclerview,1735,1597,1,13,0,0,97,0,6,21,0,0,0,0
androidx.camera,196,191,0,0,0,0,5,0,0,0,0,0,0,0
androidx.cardview,608,586,0,0,0,0,19,0,1,2,0,0,0,0
com.github.PhilJay,85,74,0,0,0,0,5,0,6,0,0,0,0,0
org.robolectric,472,11,417,8,0,1,1,0,0,0,34,0,0,0
com.google.guava,252,146,12,2,0,3,26,0,49,4,8,1,0,1
androidx.annotation,472,311,10,89,9,0,30,1,0,22,0,0,0,0
com.google.code.findbugs,58,34,3,4,0,0,7,0,2,7,1,0,0,0
com.opencsv,11,9,0,0,0,0,0,0,2,0,0,0,0,0
commons-codec,71,42,0,0,0,2,5,0,21,0,1,0,0,0
org.apache.commons,359,243,10,1,0,4,32,0,65,1,3,0,0,0
org.xerial,57,30,6,0,2,0,5,0,8,0,6,0,0,0
org.hamcrest,248,31,119,33,0,0,2,0,2,4,54,3,0,0
com.nhaarman.mockitokotlin2,384,6,343,28,0,0,3,0,0,0,4,0,0,0
io.ktor,1892,1355,130,3,0,0,116,0,243,4,41,0,0,0
ch.qos.logback,462,274,33,0,0,0,28,0,65,1,15,10,15,21
org.jetbrains,161,114,2,0,0,1,10,0,23,11,0,0,0,0
io.prometheus,27,11,0,0,0,0,4,0,12,0,0,0,0,0
com.linkedin.dexmaker,34,3,1,30,0,0,0,0,0,0,0,0,0,0
androidx.test.uiautomator,86,5,1,76,0,0,4,0,0,0,0,0,0,0
javax.annotation,122,41,3,0,0,0,4,1,6,67,0,0,0,0
com.github.paolorotolo,8,7,0,0,0,0,0,0,1,0,0,0,0,0
androidx.legacy,889,847,1,11,0,0,28,0,0,2,0,0,0,0
$KX_COROUTINES-core-common,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core-js,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core-native,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.google.truth,320,7,218,79,0,0,2,0,0,0,14,0,0,0
com.android.databinding,161,3,0,0,149,1,0,6,2,0,0,0,0,0
com.github.kinecosystem.move-kin-android,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.kinecosystem,3,2,0,0,0,0,1,0,0,0,0,0,0,0
com.google.code.gson,1236,946,14,4,0,3,74,0,182,9,4,0,0,0
com.amplitude,5,5,0,0,0,0,0,0,0,0,0,0,0,0
nl.dionsegijn,9,8,0,0,0,0,0,0,1,0,0,0,0,0
com.google.android.gms,933,771,2,2,0,50,26,0,77,5,0,0,0,0
testfairy,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.nhaarman,248,8,131,31,0,0,5,0,3,1,69,0,0,0
org.mockito,1253,41,861,186,0,0,11,0,8,1,142,3,0,0
org.glassfish,57,7,1,0,0,0,3,0,3,42,1,0,0,0
io.fabric.tools,180,1,0,0,0,179,0,0,0,0,0,0,0,0
com.youth.banner,40,26,0,0,0,0,10,0,4,0,0,0,0,0
androidx.swiperefreshlayout,261,239,0,0,0,0,19,0,1,2,0,0,0,0
com.gyf.immersionbar,28,17,0,0,0,0,11,0,0,0,0,0,0,0
com.just.agentweb,32,26,0,0,0,0,4,0,2,0,0,0,0,0
com.github.yechaoa.YUtils,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.github.CymChad,108,74,0,0,0,0,23,0,10,1,0,0,0,0
com.hyman,17,16,0,0,0,0,1,0,0,0,0,0,0,0
q.rorbin,11,8,0,0,0,0,2,0,1,0,0,0,0,0
