groupId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
org.jetbrains.kotlin,11524,5100,1031,0,0,1930,472,0,2151,288,498,34,1,19
org.junit.jupiter,1199,44,642,0,0,0,9,0,8,1,100,266,60,69
com.github.jcornaz.kwik,1,0,1,0,0,0,0,0,0,0,0,0,0,0
no.tornado,57,20,0,0,0,1,2,0,33,0,1,0,0,0
io.reactivex,40,18,0,0,0,0,0,0,21,0,1,0,0,0
org.jetbrains.kotlinx,1632,1006,87,3,0,31,215,0,234,40,16,0,0,0
com.google.dagger,125,50,1,1,54,3,3,1,11,1,0,0,0,0
com.google.guava,164,83,11,0,0,3,11,0,44,3,7,1,0,1
androidx.annotation,31,15,0,5,0,0,2,0,0,9,0,0,0,0
com.google.code.findbugs,27,16,0,0,0,0,3,0,2,5,1,0,0,0
com.opencsv,7,5,0,0,0,0,0,0,2,0,0,0,0,0
commons-codec,50,24,0,0,0,2,4,0,19,0,1,0,0,0
org.apache.commons,250,148,8,1,0,4,30,0,55,1,3,0,0,0
org.xerial,39,17,4,0,0,0,5,0,8,0,5,0,0,0
org.hamcrest,117,29,47,0,0,0,2,0,2,4,30,3,0,0
com.nhaarman.mockitokotlin2,109,5,98,2,0,0,0,0,0,0,4,0,0,0
io.ktor,1362,886,116,2,0,0,101,0,216,3,38,0,0,0
ch.qos.logback,433,256,32,0,0,0,24,0,59,1,15,10,15,21
org.jetbrains,123,85,1,0,0,1,10,0,20,6,0,0,0,0
io.prometheus,27,11,0,0,0,0,4,0,12,0,0,0,0,0
androidx.test.espresso,142,9,0,125,0,0,8,0,0,0,0,0,0,0
com.linkedin.dexmaker,1,0,0,1,0,0,0,0,0,0,0,0,0,0
androidx.test.ext,86,11,2,71,0,0,2,0,0,0,0,0,0,0
androidx.test.uiautomator,5,0,0,4,0,0,1,0,0,0,0,0,0,0
androidx.test,124,11,7,98,0,0,7,0,0,1,0,0,0,0
javax.annotation,48,26,3,0,0,0,3,1,2,13,0,0,0,0
com.github.paolorotolo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
androidx.appcompat,235,221,0,0,0,0,14,0,0,0,0,0,0,0
androidx.legacy,25,22,0,0,0,0,3,0,0,0,0,0,0,0
com.google.android.material,112,110,0,0,0,0,2,0,0,0,0,0,0,0
junit,1288,67,646,20,0,0,11,0,19,4,520,0,1,0
$KX_COROUTINES-core-common,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core-js,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core-native,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.destroystokyo.paper,16,3,1,0,0,0,0,0,0,12,0,0,0,0
com.comphenix.protocol,8,2,0,0,0,0,0,0,0,6,0,0,0,0
com.github.noonmaru,11,8,0,0,0,0,0,0,0,3,0,0,0,0
it.unimi.dsi,8,6,0,0,0,0,0,0,2,0,0,0,0,0
org.yaml,41,26,0,0,0,5,2,0,4,1,2,0,0,1
androidx.cardview,9,8,0,0,0,0,1,0,0,0,0,0,0,0
com.squareup.picasso,16,14,0,0,0,0,1,0,1,0,0,0,0,0
io.codearte.gradle.nexus,19,2,0,0,0,17,0,0,0,0,0,0,0,0
org.springframework.boot,1435,639,177,0,22,74,78,34,309,15,81,1,0,5
com.squareup.okhttp3,299,146,44,2,0,1,22,0,70,1,13,0,0,0
svarzee.gps,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.squareup.moshi,143,78,5,0,27,0,12,1,17,1,2,0,0,0
net.jpountz.lz4,2,0,0,0,0,0,1,0,1,0,0,0,0,0
com.google.protobuf,131,51,3,0,0,36,11,0,26,4,0,0,0,0
com.corundumstudio.socketio,3,1,0,0,0,0,0,0,2,0,0,0,0,0
net.mbonnin.vespene,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.dailymotion.kinta,2,1,0,0,0,0,1,0,0,0,0,0,0,0
com.github.kamatama41,2,0,0,0,0,1,0,0,0,0,1,0,0,0
net.researchgate,4,1,0,0,0,3,0,0,0,0,0,0,0,0
com.fasterxml.jackson.core,340,187,4,0,0,0,48,0,88,6,5,0,0,2
com.thoughtworks.xstream,4,2,0,0,0,0,0,0,2,0,0,0,0,0
org.javassist,23,15,3,0,0,0,2,0,3,0,0,0,0,0
com.mixpanel,2,2,0,0,0,0,0,0,0,0,0,0,0,0
com.vanniktech,32,6,0,0,0,26,0,0,0,0,0,0,0,0
com.diffplug.spotless,23,16,0,0,0,7,0,0,0,0,0,0,0,0
org.assertj,274,23,166,1,0,0,4,0,5,0,75,0,0,0
co.touchlab,16,14,0,0,0,1,1,0,0,0,0,0,0,0
androidx.lifecycle,108,95,0,3,3,0,5,2,0,0,0,0,0,0
dev.icerock.moko,11,2,0,0,0,9,0,0,0,0,0,0,0,0
com.github.shabinder,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.accompanist,8,8,0,0,0,0,0,0,0,0,0,0,0,0
org.piwik.java.tracking,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin-wrappers,43,35,0,0,0,0,8,0,0,0,0,0,0,0
com.google.code.gson,247,145,7,0,0,3,17,0,69,2,4,0,0,0
com.android.tools.build,437,124,14,0,0,224,15,0,2,57,1,0,0,0
org.springframework,263,62,11,0,0,0,19,1,143,20,6,0,0,1
io.projectreactor.netty,7,4,1,0,0,0,1,0,1,0,0,0,0,0
com.samskivert,4,0,0,0,0,0,0,0,4,0,0,0,0,0
org.slf4j,561,292,47,0,0,0,31,0,135,9,10,6,8,23
com.fasterxml.jackson.module,459,292,4,0,0,0,35,0,119,2,3,0,0,4
com.fasterxml.jackson.datatype,125,82,2,0,0,0,11,0,30,0,0,0,0,0
io.projectreactor,81,10,35,0,0,0,3,0,22,0,11,0,0,0
de.marcphilipp.gradle,4,3,0,0,0,1,0,0,0,0,0,0,0,0
de.jensklingenberg,10,4,0,0,0,3,0,0,3,0,0,0,0,0
com.google.inject,38,9,0,0,0,0,6,0,9,13,1,0,0,0
org.reduxkotlin,4,0,0,0,0,0,4,0,0,0,0,0,0,0
io.jooby,16,12,0,0,1,0,3,0,0,0,0,0,0,0
io.vertx,249,148,8,0,0,5,13,0,66,2,7,0,0,0
io.kvision,339,311,0,0,0,0,28,0,0,0,0,0,0,0
org.testng,37,3,8,1,0,0,1,0,0,0,24,0,0,0
io.javalin,15,5,1,0,0,0,1,0,8,0,0,0,0,0
io.micronaut,82,35,7,0,19,0,9,4,3,3,1,0,0,1
org.springframework.data,17,7,1,0,0,0,2,0,7,0,0,0,0,0
io.github.petertrr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.kgl,8,8,0,0,0,0,0,0,0,0,0,0,0,0
se.ansman.kotshi,4,2,0,0,2,0,0,0,0,0,0,0,0,0
org.json,56,22,2,0,0,0,9,0,18,1,4,0,0,0
org.mockito,243,22,129,4,0,0,3,0,6,0,76,3,0,0
io.fabric8,11,5,1,0,0,0,0,0,5,0,0,0,0,0
org.jmailen.gradle,4,0,0,0,0,4,0,0,0,0,0,0,0,0
org.jetbrains.dokka,176,38,0,0,0,131,4,0,1,2,0,0,0,0
de.codecentric,14,11,0,0,0,0,1,0,2,0,0,0,0,0
io.springfox,48,27,0,0,0,0,1,0,20,0,0,0,0,0
org.apache.httpcomponents,66,29,5,0,0,2,6,0,22,0,2,0,0,0
io.arrow-kt,327,78,10,0,30,12,25,0,143,20,7,2,0,0
io.jsonwebtoken,54,18,3,0,0,0,4,0,6,1,0,6,0,16
io.kotlintest,109,8,46,0,0,0,1,0,3,0,51,0,0,0
com.ninja-squad,17,0,14,0,0,0,0,0,0,0,3,0,0,0
org.springframework.security,58,31,19,0,0,0,2,0,3,0,2,0,0,1
com.h2database,135,29,5,0,0,2,1,0,15,0,3,2,1,77
com.netflix.nebula,33,8,0,0,0,17,3,0,1,3,1,0,0,0
com.github.jengelman.gradle.plugins,128,13,0,0,0,109,5,0,0,1,0,0,0,0
org.apache.logging.log4j,257,104,13,0,0,0,18,1,81,3,16,9,0,12
com.fasterxml.jackson.dataformat,121,60,6,0,0,1,18,0,29,2,3,0,0,2
io.mockk,212,25,161,0,0,0,8,0,0,0,18,0,0,0
org.jlleitschuh.gradle,31,14,0,0,0,14,1,0,1,1,0,0,0,0
com.amazon.ion,5,1,1,0,0,0,3,0,0,0,0,0,0,0
com.gradle.publish,19,2,0,0,0,14,3,0,0,0,0,0,0,0
org.controlsfx,13,4,0,0,0,0,0,0,9,0,0,0,0,0
com.moowork.gradle,27,0,0,0,0,27,0,0,0,0,0,0,0,0
com.jfrog.bintray.gradle,109,13,0,0,0,91,3,0,2,0,0,0,0,0
com.codingfeline.kgql,1,0,0,0,0,1,0,0,0,0,0,0,0,0
io.kotest,220,52,150,0,0,0,17,0,0,1,0,0,0,0
net.ltgt.gradle,9,0,1,0,0,7,0,0,0,1,0,0,0,0
com.amazonaws,53,19,2,0,0,0,4,0,28,0,0,0,0,0
nl.komponents.kovenant,7,0,0,0,0,0,0,0,6,0,1,0,0,0
org.elasticmq,2,0,0,0,0,0,0,0,0,0,2,0,0,0
com.soywiz.korlibs,14,0,0,0,0,14,0,0,0,0,0,0,0,0
io.insert-koin,49,16,18,1,0,1,4,0,6,0,3,0,0,0
commons-io,112,68,9,0,0,1,6,0,25,0,3,0,0,0
com.fifesoft,11,3,0,0,0,0,0,0,8,0,0,0,0,0
com.tngtech.jgiven,2,0,2,0,0,0,0,0,0,0,0,0,0,0
com.tngtech.junit.dataprovider,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.github.jruby-gradle,2,1,0,0,0,0,0,0,1,0,0,0,0,0
org.asciidoctor,18,4,0,0,0,9,0,0,3,2,0,0,0,0
org.ysb33r.gradle,2,1,0,0,0,0,0,0,1,0,0,0,0,0
commons-httpclient,3,1,0,0,0,0,0,0,2,0,0,0,0,0
org.ajoberstar,8,2,0,0,0,4,0,0,2,0,0,0,0,0
me.champeau.deck2pdf,2,1,0,0,0,0,0,0,1,0,0,0,0,0
org.mybatis,5,1,0,0,0,0,0,0,4,0,0,0,0,0
org.mybatis.dynamic-sql,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.hsqldb,9,4,2,0,0,0,0,0,0,0,1,0,0,2
com.willowtreeapps.assertk,36,6,20,0,0,0,0,0,0,0,10,0,0,0
javax.inject,30,17,2,0,0,0,7,0,3,1,0,0,0,0
com.google.devtools.ksp,19,15,1,0,0,2,1,0,0,0,0,0,0,0
com.squareup,115,77,9,0,0,0,8,0,21,0,0,0,0,0
io.earcam.wrapped,1,0,0,0,0,0,0,0,0,1,0,0,0,0
com.github.ajalt,46,40,1,0,0,0,1,0,4,0,0,0,0,0
org.rauschig,3,3,0,0,0,0,0,0,0,0,0,0,0,0
commons-cli,18,8,0,0,0,0,2,0,8,0,0,0,0,0
com.github.cretz.pbandk,5,0,0,0,0,0,0,0,4,1,0,0,0,0
io.projectreactor.kotlin,19,14,1,0,0,0,3,0,1,0,0,0,0,0
io.r2dbc,24,14,4,0,0,0,0,0,1,0,0,3,0,2
dev.miku,2,0,0,0,0,0,0,0,0,0,0,1,0,1
mysql,80,17,7,0,0,2,7,0,10,0,2,2,1,32
org.postgresql,97,58,3,0,0,4,3,0,12,0,1,2,0,14
org.testcontainers,103,17,63,0,0,0,2,0,2,0,10,9,0,0
org.kodein.di,20,9,2,0,0,0,3,0,6,0,0,0,0,0
com.microsoft.azure,6,1,0,0,0,0,0,0,5,0,0,0,0,0
org.litote.kmongo,27,20,0,0,2,0,3,0,2,0,0,0,0,0
dev.fritz2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup,84,55,2,0,0,1,9,0,16,0,1,0,0,0
com.github.cesarferreira,3,3,0,0,0,0,0,0,0,0,0,0,0,0
com.github.salomonbrys.kotson,25,6,1,0,0,0,4,0,13,0,1,0,0,0
com.github.rnett,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.just-ai.jaicf,2,2,0,0,0,0,0,0,0,0,0,0,0,0
net.minecraftforge.gradle,21,1,0,0,0,20,0,0,0,0,0,0,0,0
net.shadowfacts,6,0,0,0,0,0,1,0,5,0,0,0,0,0
org.spigotmc,75,4,6,0,1,0,0,0,0,52,12,0,0,0
jline,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.squareup.retrofit2,293,182,6,0,0,0,24,0,71,4,6,0,0,0
io.reactivex.rxjava2,154,89,2,0,0,0,6,0,54,2,1,0,0,0
com.nhaarman,91,1,34,13,0,0,3,0,3,0,37,0,0,0
org.ow2.asm,79,40,0,0,0,0,7,0,31,0,1,0,0,0
gradle.plugin.org.jetbrains.gradle.plugin.idea-ext,5,4,0,0,0,0,0,0,1,0,0,0,0,0
kr.entree,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.auto.service,172,19,1,0,91,0,5,2,7,47,0,0,0,0
nan,15,1,0,0,0,13,0,0,1,0,0,0,0,0
dev.icerock,17,6,0,0,0,0,11,0,0,0,0,0,0,0
io.gitlab.arturbosch.detekt,50,17,5,0,0,11,11,0,1,2,0,0,0,3
org.jetbrains.exposed,112,93,0,0,0,0,10,0,9,0,0,0,0,0
io.micrometer,54,26,1,0,0,0,1,0,20,1,0,1,0,4
org.ehcache,9,5,0,0,0,0,0,0,4,0,0,0,0,0
org.web3j,16,4,0,0,0,0,3,0,9,0,0,0,0,0
org.springframework.kafka,18,4,5,0,0,0,1,0,5,0,3,0,0,0
org.apache.kafka,23,10,2,0,0,0,2,0,5,2,2,0,0,0
org.cassandraunit,3,0,0,0,0,0,0,0,1,0,2,0,0,0
javax.xml.bind,43,25,1,0,0,0,5,0,3,0,4,0,0,5
org.glassfish.jaxb,5,0,1,0,0,0,1,0,1,1,1,0,0,0
javax.activation,19,8,1,0,0,0,1,0,2,0,1,0,0,6
com.strapdata.elasticsearch,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.strapdata.elasticsearch.client,1,0,0,0,0,0,0,0,1,0,0,0,0,0
org.skyscreamer,6,1,3,0,0,0,0,0,0,0,1,0,1,0
com.typesafe.akka,3,0,0,0,0,0,0,0,3,0,0,0,0,0
org.jparsec,6,3,0,0,0,0,2,0,1,0,0,0,0,0
com.zaxxer,75,42,4,0,0,0,9,0,9,5,4,0,1,1
net.mamoe.yamlkt,3,2,0,0,0,0,1,0,0,0,0,0,0,0
org.quartz-scheduler,16,8,1,0,0,0,4,0,2,1,0,0,0,0
net.mamoe,63,11,24,0,0,0,1,0,0,26,0,0,0,1
com.google.cloud,53,35,0,0,0,0,3,0,15,0,0,0,0,0
com.github.donkingliang,1,0,0,0,0,0,1,0,0,0,0,0,0,0
$corda_release_group,179,15,10,0,0,0,2,0,17,7,128,0,0,0
${corda_release_group},7,3,0,0,0,0,0,0,3,0,1,0,0,0
net.java.dev.jna,28,15,2,1,0,0,3,0,7,0,0,0,0,0
co.paralleluniverse,9,1,0,0,0,1,0,0,2,4,1,0,0,0
net.corda.plugins,192,0,0,0,0,192,0,0,0,0,0,0,0,0
com.github.alexeykoren,3,1,0,0,0,0,0,0,2,0,0,0,0,0
io.github.microutils,170,109,2,0,0,0,17,0,32,8,2,0,0,0
org.java-websocket,11,5,0,0,0,0,1,0,5,0,0,0,0,0
net.iharder,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.madgag.spongycastle,6,1,0,0,0,0,0,0,5,0,0,0,0,0
com.natpryce,39,4,7,0,0,0,0,0,5,0,23,0,0,0
org.meanbean,1,0,0,0,0,0,0,0,0,0,1,0,0,0
org.koin,67,39,14,0,0,2,5,0,5,1,1,0,0,0
io.confluent,9,5,0,0,0,1,1,0,2,0,0,0,0,0
org.kt3k.gradle.plugin,8,0,0,0,0,8,0,0,0,0,0,0,0,0
ws.osiris,13,6,0,0,0,7,0,0,0,0,0,0,0,0
com.ccfraser.muirwik,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.benasher44,4,3,0,0,0,0,1,0,0,0,0,0,0,0
io.github.daviddenton,1,0,1,0,0,0,0,0,0,0,0,0,0,0
org.projectlombok,60,2,0,0,0,0,0,24,10,24,0,0,0,0
org.springframework.amqp,3,1,2,0,0,0,0,0,0,0,0,0,0,0
com.jfoenix,8,4,0,0,0,0,1,0,3,0,0,0,0,0
software.amazon.awssdk,51,9,11,0,0,0,27,0,4,0,0,0,0,0
software.amazon.kinesis,1,0,0,0,0,0,0,0,1,0,0,0,0,0
javax.validation,15,8,0,0,0,0,5,0,1,0,1,0,0,0
org.hibernate,25,9,0,0,1,0,4,0,10,0,1,0,0,0
com.squareup.okio,46,29,2,0,0,0,6,0,7,0,0,0,0,2
de.undercouch,9,6,0,0,0,2,1,0,0,0,0,0,0,0
com.squareup.anvil,2,1,0,0,0,1,0,0,0,0,0,0,0,0
com.cronutils,6,4,0,0,0,0,1,0,1,0,0,0,0,0
com.beust,51,30,4,0,0,0,2,0,15,0,0,0,0,0
com.hiya,5,3,0,0,0,2,0,0,0,0,0,0,0,0
com.novoda,21,0,0,0,0,21,0,0,0,0,0,0,0,0
com.github.doyaaaaaken,7,5,0,0,0,0,0,0,2,0,0,0,0,0
io.jhdf,1,0,0,0,0,0,0,0,1,0,0,0,0,0
com.typesafe,28,4,1,0,0,0,4,0,17,1,0,1,0,0
org.commonmark,9,8,1,0,0,0,0,0,0,0,0,0,0,0
com.google.truth,74,5,54,1,0,0,2,0,0,0,12,0,0,0
com.michael-bull.kotlin-result,7,3,0,0,0,0,4,0,0,0,0,0,0,0
com.github.tschuchortdev,13,0,13,0,0,0,0,0,0,0,0,0,0,0
com.github.jasync-sql,7,1,0,0,0,0,2,0,4,0,0,0,0,0
log4j,15,6,0,0,0,0,0,0,9,0,0,0,0,0
org.hexworks.zircon,4,2,0,0,0,0,0,0,2,0,0,0,0,0
