groupId:artifactId,count,implementation,testImplementation,androidTestImplementation,kapt,classpath,api,annotationProcessor,compile,compileOnly,testCompile,testRuntimeOnly,testRuntime,runtimeOnly
org.jetbrains.kotlin:stdlib,175,119,3,0,0,0,15,0,21,16,0,1,0,0
org.junit.jupiter:junit-jupiter,98,3,89,0,0,0,1,0,0,0,4,0,0,1
com.github.jcornaz.kwik:kwik-core-jvm,1,0,1,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin:test-common,117,111,1,0,0,0,5,0,0,0,0,0,0,0
org.jetbrains.kotlin:test-annotations-common,120,113,1,0,0,0,6,0,0,0,0,0,0,0
org.jetbrains.kotlin:test,120,73,36,0,0,0,9,0,1,0,1,0,0,0
org.jetbrains.kotlin:test-junit,177,100,62,0,0,0,6,0,0,0,9,0,0,0
org.jetbrains.kotlin:kotlin-gradle-plugin,1074,82,1,0,0,964,14,0,2,11,0,0,0,0
org.jetbrains.kotlin:kotlin-stdlib,527,174,2,0,0,1,18,0,310,19,2,0,0,1
no.tornado:tornadofx,49,18,0,0,0,0,1,0,29,0,1,0,0,0
io.reactivex:rxkotlin,5,1,0,0,0,0,0,0,4,0,0,0,0,0
org.jetbrains.kotlin:stdlib-common,79,71,0,0,0,0,7,0,0,1,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-core-common,17,13,0,0,0,0,2,0,2,0,0,0,0,0
org.jetbrains.kotlin:stdlib-jdk8,323,241,2,0,0,0,22,0,25,33,0,0,0,0
com.google.dagger:dagger,36,22,0,0,0,0,3,0,10,1,0,0,0,0
com.google.guava:guava,107,53,9,0,0,3,5,0,32,1,2,1,0,1
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm,3,3,0,0,0,0,0,0,0,0,0,0,0,0
androidx.annotation:annotation,17,11,0,3,0,0,2,0,0,1,0,0,0,0
com.google.code.findbugs:jsr305,13,5,0,0,0,0,2,0,2,3,1,0,0,0
com.opencsv:opencsv,5,3,0,0,0,0,0,0,2,0,0,0,0,0
commons-codec:commons-codec,35,16,0,0,0,1,3,0,14,0,1,0,0,0
org.apache.commons:commons-lang3,53,29,1,0,0,0,4,0,18,0,1,0,0,0
org.xerial:sqlite-jdbc,31,13,4,0,0,0,4,0,7,0,3,0,0,0
org.hamcrest:hamcrest,13,2,11,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons:commons-io,9,4,1,0,0,0,0,0,4,0,0,0,0,0
com.nhaarman.mockitokotlin2:mockito-kotlin,68,3,61,0,0,0,0,0,0,0,4,0,0,0
org.jetbrains.kotlin:kotlin-stdlib-jdk8,750,443,2,0,0,2,24,0,262,15,0,0,0,2
io.ktor:ktor-server-netty,103,71,3,0,0,0,6,0,21,1,1,0,0,0
ch.qos.logback:logback-classic,212,112,17,0,0,0,10,0,42,1,7,4,8,11
io.ktor:ktor-server-core,71,44,2,0,0,0,8,0,17,0,0,0,0,0
io.ktor:ktor-html-builder,29,22,0,0,0,0,3,0,4,0,0,0,0,0
io.ktor:ktor-jackson,30,22,0,0,0,0,1,0,7,0,0,0,0,0
org.jetbrains:kotlin-css-jvm,4,4,0,0,0,0,0,0,0,0,0,0,0,0
io.prometheus:simpleclient,8,4,0,0,0,0,1,0,3,0,0,0,0,0
io.prometheus:simpleclient_httpserver,5,2,0,0,0,0,1,0,2,0,0,0,0,0
io.prometheus:simpleclient_hotspot,6,3,0,0,0,0,1,0,2,0,0,0,0,0
io.ktor:ktor-server-tests,24,1,16,0,0,0,0,0,0,0,7,0,0,0
androidx.test.espresso:espresso-contrib,6,0,0,5,0,0,1,0,0,0,0,0,0,0
androidx.test.espresso:espresso-core,51,0,0,48,0,0,3,0,0,0,0,0,0,0
com.linkedin.dexmaker:dexmaker-mockito,1,0,0,1,0,0,0,0,0,0,0,0,0,0
io.ktor:ktor-client-mock,10,2,4,1,0,0,2,0,0,0,1,0,0,0
androidx.test.ext:junit,38,4,0,33,0,0,1,0,0,0,0,0,0,0
androidx.test.uiautomator:uiautomator,4,0,0,3,0,0,1,0,0,0,0,0,0,0
androidx.test:rules,18,0,0,16,0,0,2,0,0,0,0,0,0,0
javax.annotation:jsr250-api,9,0,1,0,0,0,0,1,1,6,0,0,0,0
com.github.paolorotolo:appintro,1,1,0,0,0,0,0,0,0,0,0,0,0,0
io.ktor:ktor-client-android,7,6,0,0,0,0,1,0,0,0,0,0,0,0
io.ktor:ktor-client-core,56,42,2,0,0,0,7,0,5,0,0,0,0,0
io.ktor:ktor-client-jackson,9,8,1,0,0,0,0,0,0,0,0,0,0,0
io.ktor:ktor-client-json,23,19,0,0,0,0,2,0,2,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-android,37,32,1,0,0,0,4,0,0,0,0,0,0,0
org.jetbrains.kotlinx:kotlinx-coroutines-core,401,247,10,0,0,2,42,0,80,20,0,0,0,0
androidx.appcompat:appcompat,106,100,0,0,0,0,6,0,0,0,0,0,0,0
androidx.legacy:legacy-preference-v14,2,2,0,0,0,0,0,0,0,0,0,0,0,0
androidx.legacy:legacy-support-v4,16,15,0,0,0,0,1,0,0,0,0,0,0,0
com.google.android.material:material,65,64,0,0,0,0,1,0,0,0,0,0,0,0
com.google.dagger:dagger-compiler,36,1,0,0,35,0,0,0,0,0,0,0,0,0
junit:junit,601,30,266,5,0,0,5,0,12,2,281,0,0,0
$KX_COROUTINES-core-common:$KX_COROUTINES_VERSION,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$KX_COROUTINES-core:$KX_COROUTINES_VERSION,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin:stdlib-js,63,58,0,0,0,0,3,0,1,1,0,0,0,0
$KX_COROUTINES-core-js:$KX_COROUTINES_VERSION,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin:test-js,93,80,9,0,0,0,4,0,0,0,0,0,0,0
$KX_COROUTINES-core-native:$KX_COROUTINES_VERSION,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jetbrains.kotlin:gradle-plugin,101,30,1,0,0,54,6,0,1,9,0,0,0,0
org.jetbrains.kotlin:serialization,9,1,0,0,0,5,1,0,0,2,0,0,0,0
com.destroystokyo.paper:paper-api,15,3,0,0,0,0,0,0,0,12,0,0,0,0
