fq_name,count
$boo,1
A.AA,2
A,18
A.B,3
A.Companion,1
AddressConstants,65
Album,2
AuthDelegate.Companion,1
B,10
B.C,4
BExtSpace,2
Bar,1
BuildConfig,5
BuildScript.Versions,2
Build_gradle.IncludeMethod,3
Build_gradle,1
Build_gradle.OS,3
C,1
Changes_gradle,1
ChildComponent,1
ClassySharkBytecodeViewer.ClassRecomplied,2
ConfigConstants,24
Configurations,2
Constants,1
Core,2
Crypto,5
DDS,2
Data,1
Day10,1
Day11,2
Day11.Type,2
Day14.Companion,1
Day15,1
Day17,2
Day24,1
Day5.Companion,1
Deep_clean,1
Defines,29
Dependencies,140
Dependencies.AndroidX,2
Dependencies.View.Version,3
Dependencies.View,8
Direction,2
E,1
EditMode,2
Encoding,1
Extras.Android,1
Factory,1
GitUtils,1
GlobalNamespace,2
HttpRequest,1
InternalBuildType,2
J,5
Java,2
JavaClass1,2
JavaClassWI,1
JavaClassWI.Other,1
JniUtils,3
LazyJS,1
LeNetClassic,2
Libraries.Coroutines,1
Libs.Coroutines,1
Libs,19
MVE.Used.Companion,1
MainContext.Companion,6
MemberPropertyInRoot,4
MockUtil,1
Modules,32
My.Companion,1
MyClass.Companion,1
MyEnum,2
MyFramework,3
MyGreatFlags.LogLevel,1
MyJavaClass,1
MyObj,1
Obj,4
Object.Companion,2
OpenDDS.DCPS,2
Openrndr_embed_shaders_gradle,1
Option,3
Other,1
Outer,1
Outer.C,2
Outer.Companion,1
Outer.Middle,2
Outer.Middle.Inner,2
POGOProtos.Data.Capture,2
POGOProtos.Data,8
POGOProtos.Data.PokemonDataOuterClass,2
POGOProtos.Enums,4
POGOProtos.Enums.PokemonIdOuterClass,2
POGOProtos.Inventory.Item,14
POGOProtos.Networking.Responses,30
Pattern,2
PixelSorter,4
Platform,2
Preference,1
Project,2
ProjectDependencies,11
ProjectLib,161
Publishing,2
Releasing_main,1
Renderers,1
RunLengthEncoding,4
Some,4
Stats,2
Storage,3
TemplateLintUtil.Companion,1
Test,2
TestConstants,12
TestLibs,14
TestMetadata,2
TestServer,1
TestServerWithJwtAuth,1
TestUtilities,4
Testing Module,2
Testing,6
Utils.Companion,1
Versions,102
WaterAction,8
WaterState,9
X,2
_,2
_0.CoDataSource.Companion,1
_1_database_stream,1
__,1
__M.__N,1
_atom,1
_commonapi,1
_computable,2
_transformable.internalApi,1
aQute,32
ac.simons.neo4j,2
ai,183
akka,198
alexiil,206
alice,26
allbegray.slack.webapi,1
am.ik.yavi,4
android,5
android.Manifest,12
android.Manifest.permission,76
android.R,4
android.R.attr,4
android.R.id,1
android.R.layout,6
android.accessibilityservice,20
android.accounts,79
android.animation,746
android.annotation,1510
android.app,5445
android.appwidget,95
android.arch,586
android.bluetooth,189
android.content,17694
android.database,565
android.databinding,53
android.graphics,5949
android.hardware,203
android.icu,4
android.inputmethodservice,3
android.location,92
android.media,298
android.net,1892
android.nfc,16
android.opengl,82
android.os,11720
android.preference,151
android.print,19
android.provider,413
android.renderscript,49
android.security,59
android.service,129
android.speech,15
android.support.annotation,245
android.support.constraint,30
android.support.customtabs,10
android.support.design,141
android.support.graphics,2
android.support.multidex,12
android.support.percent,1
android.support.test,644
android.support.text,3
android.support.transition,17
android.support.v14,1
android.support.v17,52
android.support.v4,710
android.support.v7,949
android.support.wearable,54
android.system,23
