fq_name,class,decorator,function,unknown,total
APIServer.appscale.api_server.app_identity.AppIdentityService._ensure_private_key,0,0,1,0,1
APIServer.appscale.api_server.app_identity.AppIdentityService._get_token,0,0,1,0,1
APIServer.appscale.api_server.app_identity.AppIdentityService._remove_cert,0,0,1,0,1
APIServer.appscale.api_server.app_identity.AppIdentityService.get_access_token,0,0,1,0,1
APIServer.appscale.api_server.app_identity.AppIdentityService.get_public_certificates,0,0,1,0,1
APIServer.appscale.api_server.app_identity.AppIdentityService.get_service_account_name,0,0,1,0,1
APIServer.appscale.api_server.app_identity.AppIdentityService.sign,0,0,1,0,1
APIServer.appscale.api_server.crypto.PrivateKey.__init__,1,0,0,0,1
APIServer.appscale.api_server.crypto.PrivateKey.from_pem,0,0,1,0,1
APIServer.appscale.api_server.crypto.PrivateKey.sign,0,0,1,0,1
APIServer.appscale.api_server.crypto.PublicCertificate.__init__,1,0,0,0,1
AdminServer.appscale.admin.admin_server.BaseVersionHandler.get_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.BaseVersionHandler.start_delete_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.OAuthHandler._check_user,0,0,1,0,1
AdminServer.appscale.admin.admin_server.ProjectsHandler.get_projects_from_zookeeper,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionHandler.get_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionHandler.relocate_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionHandler.update_scaling_for_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionHandler.update_serving_status_for_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionHandler.update_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionHandler.version_from_payload,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionsHandler.clean_up_revision_nodes,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionsHandler.identify_as_hoster,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionsHandler.put_version,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionsHandler.stop_hosting_revision,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionsHandler.version_exists,0,0,1,0,1
AdminServer.appscale.admin.admin_server.VersionsHandler.version_from_payload,0,0,1,0,1
AdminServer.appscale.admin.admin_server.wait_for_port_to_open,0,0,1,0,1
AdminServer.appscale.admin.base_handler.BaseHandler.authenticate,0,0,1,0,1
AdminServer.appscale.admin.base_handler.BaseHandler.authenticate_access_token,0,0,1,0,1
AdminServer.appscale.admin.base_handler.BaseHandler.check_token_expiration,0,0,1,0,1
AdminServer.appscale.admin.base_handler.BaseHandler.check_token_hash,0,0,1,0,1
AdminServer.appscale.admin.base_handler.BaseHandler.check_token_scope,0,0,1,0,1
AdminServer.appscale.admin.base_handler.BaseHandler.check_user_access,0,0,1,0,1
